source,cell,cls,documented,dist_km,gate_km,gated_out,mcut,window,n_post,n_bg,lam_bg_per_day,expected,RR,p_cell,n_null,null_mean,null_p95,sig_primary_Pa,sig_secondary_Pa,sig_primary_Mw_Pa,p_familywise,p_WY_family,p_WY_within_source,p_familywise_within_source
landers,parkfield,C,False,415.389727986717,140.0,False,1.5,5d,1,8,0.08888888888888889,0.4444444444444445,2.25,0.17060637204522097,972,1.2784383878570238,4.606578947368405,60265.402795715774,295287.6538369507,60265.402795715774,1.0,1.0,0.9619732785200411,0.9445015416238438
landers,parkfield,C,False,415.389727986717,140.0,False,1.5,1d,0,8,0.08888888888888889,0.08888888888888889,0.0,1.0,972,1.3461241851782992,8.181818181818182,60265.402795715774,295287.6538369507,60265.402795715774,1.0,1.0,1.0,1.0
landers,parkfield,C,False,415.389727986717,140.0,False,2.5,5d,0,1,0.011111111111111112,0.05555555555555556,0.0,1.0,857,1.2446824470745124,6.0,60265.402795715774,295287.6538369507,60265.402795715774,1.0,1.0,1.0,1.0
landers,parkfield,C,False,415.389727986717,140.0,False,2.5,1d,0,1,0.011111111111111112,0.011111111111111112,0.0,1.0,857,0.9557842973828972,0.0,60265.402795715774,295287.6538369507,60265.402795715774,1.0,1.0,1.0,1.0
landers,mendocino,C,False,988.5533007446611,140.0,False,1.5,5d,16,2210,24.555555555555557,122.77777777777779,0.13031674208144794,0.9311408016443987,972,1.7549606237923372,2.645581395348833,14289.086425357604,96494.61853022923,14289.086425357604,1.0,1.0,1.0,1.0
landers,mendocino,C,False,988.5533007446611,140.0,False,1.5,1d,1,2210,24.555555555555557,24.555555555555557,0.04072398190045248,0.5652620760534429,972,1.1015909838852043,3.842097264437688,14289.086425357604,96494.61853022923,14289.086425357604,1.0,1.0,1.0,1.0
landers,mendocino,C,False,988.5533007446611,140.0,False,2.5,5d,3,597,6.633333333333334,33.16666666666667,0.09045226130653265,0.6073997944501541,972,2.008508253698116,4.0,14289.086425357604,96494.61853022923,14289.086425357604,1.0,1.0,1.0,1.0
landers,mendocino,C,False,988.5533007446611,140.0,False,2.5,1d,0,597,6.633333333333334,6.633333333333334,0.0,1.0,972,1.2694942627434853,7.73450508788158,14289.086425357604,96494.61853022923,14289.086425357604,1.0,1.0,1.0,1.0
landers,wasatch_slc,C,False,825.9673000286367,140.0,False,1.5,5d,0,9,0.1,0.5,0.0,1.0,763,0.9926792735442801,6.0,19255.12204621213,121666.5319147654,19255.12204621213,1.0,1.0,1.0,1.0
landers,wasatch_slc,C,False,825.9673000286367,140.0,False,1.5,1d,0,9,0.1,0.1,0.0,1.0,763,0.9880172252387194,0.0,19255.12204621213,121666.5319147654,19255.12204621213,1.0,1.0,1.0,1.0
landers,wasatch_slc,C,False,825.9673000286367,140.0,False,2.5,5d,0,5,0.05555555555555555,0.2777777777777778,0.0,1.0,98,0.0,0.0,19255.12204621213,121666.5319147654,19255.12204621213,1.0,1.0,1.0,1.0
landers,wasatch_slc,C,False,825.9673000286367,140.0,False,2.5,1d,0,5,0.05555555555555555,0.05555555555555555,0.0,1.0,98,0.0,0.0,19255.12204621213,121666.5319147654,19255.12204621213,1.0,1.0,1.0,1.0
hectormine,long_valley,A,True,411.2111549838919,96.0,False,1.5,5d,28,258,2.8666666666666667,14.333333333333334,1.9534883720930232,0.1130524152106886,972,1.181358632693601,3.048461538461538,77153.72528583785,363839.21477722813,38668.462140047544,1.0,1.0,0.9547790339157246,0.986639260020555
hectormine,long_valley,A,True,411.2111549838919,96.0,False,1.5,1d,11,258,2.8666666666666667,2.8666666666666667,3.8372093023255816,0.03391572456320658,972,1.156071052222906,3.1505583126550816,77153.72528583785,363839.21477722813,38668.462140047544,1.0,0.9691675231243576,0.6351490236382322,0.8890030832476875
hectormine,long_valley,A,True,411.2111549838919,96.0,False,2.5,5d,2,33,0.36666666666666664,1.8333333333333333,1.090909090909091,0.34224049331963,972,1.3485562457975349,5.25857142857141,77153.72528583785,363839.21477722813,38668.462140047544,1.0,1.0,1.0,1.0
hectormine,long_valley,A,True,411.2111549838919,96.0,False,2.5,1d,0,33,0.36666666666666664,0.36666666666666664,0.0,1.0,972,1.2573741651009753,6.651098901098868,77153.72528583785,363839.21477722813,38668.462140047544,1.0,1.0,1.0,1.0
hectormine,coso,A,True,209.0321303046161,96.0,False,1.5,5d,7,107,1.1888888888888889,5.944444444444445,1.1775700934579438,0.24357656731757452,972,1.3089610983439683,3.124695652173912,237219.8112142474,870920.2333425108,118891.54094405222,1.0,1.0,1.0,1.0
hectormine,coso,A,True,209.0321303046161,96.0,False,1.5,1d,1,107,1.1888888888888889,1.1888888888888889,0.8411214953271028,0.3658787255909558,972,1.1437598540081835,3.5999999999999996,237219.8112142474,870920.2333425108,118891.54094405222,1.0,1.0,1.0,1.0
hectormine,coso,A,True,209.0321303046161,96.0,False,2.5,5d,1,7,0.07777777777777778,0.3888888888888889,2.571428571428571,0.13367875647668392,964,2.0097076032045083,9.0,237219.8112142474,870920.2333425108,118891.54094405222,1.0,1.0,0.9691675231243576,0.9640287769784173
hectormine,coso,A,True,209.0321303046161,96.0,False,2.5,1d,0,7,0.07777777777777778,0.07777777777777778,0.0,1.0,964,1.5103165899652944,7.5,237219.8112142474,870920.2333425108,118891.54094405222,1.0,1.0,1.0,1.0
