source,cell,cls,documented,measurable,dist_km,lam_bg_per_day,expected_5d,crit_RR,R_min_80pct,sig_primary_kPa,sig_secondary_kPa,dTau_min_kPa_Asigma0.03,R_pred_primary_Asigma0.03,power_primary_Asigma0.03,R_pred_secondary_Asigma0.03,power_secondary_Asigma0.03,dTau_min_kPa_Asigma0.10,R_pred_primary_Asigma0.10,power_primary_Asigma0.10,R_pred_secondary_Asigma0.10,power_secondary_Asigma0.10,dTau_min_kPa_Asigma0.15,R_pred_primary_Asigma0.15,power_primary_Asigma0.15,R_pred_secondary_Asigma0.15,power_secondary_Asigma0.15
landers,parkfield,C,False,True,415.389727986717,0.08888888888888889,0.4444444444444445,4.606578947368405,9.0,60.26540279571577,295.2876538369507,65.91673732008658,7.454715311215791,0.7125,18824.637469700534,1.0,219.72245773362198,1.8269611776879509,0.124,19.160991858913324,0.99,329.5836866004329,1.4944665971469029,0.097,7.160532565858956,0.69175
landers,mendocino,C,False,True,988.5533007446611,24.555555555555557,122.77777777777779,2.645581395348833,2.8000000000000016,14.289086425357604,96.49461853022923,30.888582515434763,1.6101106137763417,0.0,24.9403577441475,1.0,102.96194171811588,1.1536038953734975,0.0,2.624646408120948,0.44225,154.44291257717381,1.0999454373544624,0.0,1.9027447649765132,0.0
landers,wasatch_slc,C,False,True,825.9673000286367,0.1,0.5,6.0,10.5,19.25512204621213,121.6665319147654,70.54125771490433,1.8999686794573727,0.0605,57.716959963033545,1.0,235.13752571634777,1.2123385986604351,0.02125,3.375911355553272,0.17125,352.70628857452164,1.1369707402951112,0.021,2.2504050286855306,0.08875
hectormine,long_valley,A,True,True,411.2111549838919,2.8666666666666667,14.333333333333334,3.048461538461538,3.5500000000000025,77.15372528583785,363.8392147772281,38.00842810461975,13.089244243695225,1.0,184974.60528483105,1.0,126.69476034873252,2.163088913861998,0.02425,38.03063989177859,1.0,190.04214052309877,1.672564652660314,0.0005,11.308953591265198,1.0
hectormine,coso,A,True,True,209.0321303046161,1.1888888888888889,5.944444444444445,3.124695652173912,3.9000000000000026,237.2198112142474,870.9202333425108,40.82929659406805,2717.1180047214693,1.0,4053794389545.028,1.0,136.09765531356015,10.720932214208505,1.0,6058.407970590739,1.0,204.14648297034023,4.86207551814799,0.97375,332.3321394799358,1.0
hectormine,geysers,A,True,True,748.7517795211193,2.2555555555555555,11.277777777777779,1.7134689233394957,2.100000000000001,28.530130169407606,167.9412422122442,22.258120341881334,2.5883078928535235,0.96575,269.8972705288252,1.0,74.19373447293778,1.3301627480390283,0.14475,5.362404215174258,1.0,111.29060170940666,1.2094925213557652,0.07325,3.063653878051339,0.997
hectormine,yellowstone,A,True,True,1206.5966212968665,0.8666666666666667,4.333333333333334,4.679710144927535,5.75,12.921457967889904,90.74821578969184,52.47599564427777,1.5383574642955677,0.00025,20.59277994643395,1.0,174.9199854809259,1.1379342755412867,0.0,2.47807526962488,0.01225,262.3799782213889,1.0899622396513249,0.0,1.831230426754867,0.0005
hectormine,salton_brawley,A,False,True,177.30480778954595,0.3333333333333333,1.6666666666666665,4.1746153846153815,6.0,311.76586526304186,1076.9703571120865,53.75278407684165,32604.171156898523,1.0,3897110997762298.0,1.0,179.1759469228055,22.593418626030346,1.0,47557.91788381352,1.0,268.7639203842083,7.991984498790655,0.95825,1312.6488279317864,1.0
hectormine,lassen,B,True,False,802.0084321978518,0.011111111111111112,0.05555555555555556,9.0,,25.45467650868396,153.6959363032559,,2.336114821870832,0.04675,167.87134404661003,0.6415,,1.2898768711367248,0.02425,4.650428486705633,0.09,,1.1849467577290247,0.02675,2.7860911036823643,0.05625
hectormine,mono_west_nv_mina,,,False,,,,,,,,,,,,,,,,,,,,,,
hectormine,little_skull_mtn,,,False,,,,,,,,,,,,,,,,,,,,,,
hectormine,cedar_city_ut,B,True,False,443.3231201842086,0.03333333333333333,0.16666666666666666,9.0,,68.10026164270926,330.205207944579,,9.679485232596065,0.399,60285.100631898735,0.95225,,1.9758577669116355,0.05675,27.168333334845162,0.843,,1.5746007440246546,0.05325,9.037368645220845,0.37475
hectormine,smith_valley_nv,C,True,False,544.4770124698647,0.011111111111111112,0.05555555555555556,9.0,,48.41484683905558,253.3025678248022,,5.0219998354447615,0.1005,4644.406761046354,0.623,,1.6227925611674119,0.027,12.591546527092502,0.21925,,1.3809416832123376,0.02725,5.412352198388599,0.102
hectormine,parkfield,C,False,True,410.5279859340007,0.18888888888888888,0.9444444444444444,4.0,6.75,77.36697516306181,364.6204635908787,57.28627514653315,13.182618375157451,0.99575,189854.91478068457,1.0,190.95425048844385,2.1677066201916553,0.13825,38.328917442558335,1.0,286.43137573266574,1.6749441717455724,0.08275,11.368007955454896,0.991
